TimestampUtc,DbPool,ApiPool
"2026-09-09T12:45:59.6114460Z","","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=119.64 | http.client.connection.duration[server.address=login.microsoftonline.com;]=89.95 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=0 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.17 | http.client.request.time_in_queue[server.address=localhost;]=0 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.05"
"2026-09-09T12:46:14.6134574Z","","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=119.64 | http.client.connection.duration[server.address=login.microsoftonline.com;]=89.95 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=0 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.17 | http.client.request.time_in_queue[server.address=localhost;]=0 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.05"
"2026-09-09T12:46:29.6172824Z","","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=119.64 | http.client.connection.duration[server.address=login.microsoftonline.com;]=89.95 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=0 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.17 | http.client.request.time_in_queue[server.address=localhost;]=0 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.05"
"2026-09-09T12:46:44.6212366Z","","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=61.31 | http.client.connection.duration[server.address=login.microsoftonline.com;]=89.95 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=0 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.17 | http.client.request.time_in_queue[server.address=localhost;]=0 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.05"
"2026-09-09T12:46:59.6249363Z","","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=61.31 | http.client.connection.duration[server.address=login.microsoftonline.com;]=89.95 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=0 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.17 | http.client.request.time_in_queue[server.address=localhost;]=0 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.05"
"2026-09-09T12:47:14.6471558Z","","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=61.31 | http.client.connection.duration[server.address=login.microsoftonline.com;]=89.95 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=0 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.17 | http.client.request.time_in_queue[server.address=localhost;]=0 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.05"
"2026-09-09T12:47:29.6762123Z","","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=61.31 | http.client.connection.duration[server.address=login.microsoftonline.com;]=89.95 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=0 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.17 | http.client.request.time_in_queue[server.address=localhost;]=0 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.05"
"2026-09-09T12:47:44.6788949Z","","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=61.31 | http.client.connection.duration[server.address=login.microsoftonline.com;]=89.95 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=0 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.17 | http.client.request.time_in_queue[server.address=localhost;]=0 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.05"
"2026-09-09T12:47:59.6831280Z","","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=61.31 | http.client.connection.duration[server.address=login.microsoftonline.com;]=89.95 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=0 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.17 | http.client.request.time_in_queue[server.address=localhost;]=0 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.05"
"2026-09-09T12:48:14.6913244Z","","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=61.31 | http.client.connection.duration[server.address=login.microsoftonline.com;]=89.95 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=0 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.17 | http.client.request.time_in_queue[server.address=localhost;]=0 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.05"
"2026-09-09T12:48:29.7485917Z","","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=61.31 | http.client.connection.duration[server.address=login.microsoftonline.com;]=89.95 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=0 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.17 | http.client.request.time_in_queue[server.address=localhost;]=0 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.05"
"2026-09-09T12:48:44.7568372Z","","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=61.31 | http.client.connection.duration[server.address=login.microsoftonline.com;]=89.95 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=0 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.17 | http.client.request.time_in_queue[server.address=localhost;]=0 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.05"
"2026-09-09T12:48:59.7607849Z","","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=61.31 | http.client.connection.duration[server.address=login.microsoftonline.com;]=89.95 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=0 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.17 | http.client.request.time_in_queue[server.address=localhost;]=0 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.05"
"2026-09-09T12:49:14.7639693Z","","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=61.31 | http.client.connection.duration[server.address=login.microsoftonline.com;]=89.95 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=0 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.17 | http.client.request.time_in_queue[server.address=localhost;]=0 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.05"
"2026-09-09T12:49:29.7670500Z","","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=61.31 | http.client.connection.duration[server.address=login.microsoftonline.com;]=89.95 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=0 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.17 | http.client.request.time_in_queue[server.address=localhost;]=0 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.05"
"2026-09-09T12:49:44.7686484Z","","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=61.31 | http.client.connection.duration[server.address=login.microsoftonline.com;]=89.95 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=0 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.17 | http.client.request.time_in_queue[server.address=localhost;]=0 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.05"
