StartTimeUtc,EndTimeUtc,DurationMs,Api,Method,StatusCode,Outcome,Url,CorrelationId
"2026-09-10T04:32:53.2414154Z","2026-09-10T04:32:53.3136745Z","72","localhost","GET","200","OK","https://localhost:7188/api/v1/projectsummary/2026%2f001/years/2026/costsummary",""
"2026-09-10T04:32:53.3628204Z","2026-09-10T04:32:53.5275422Z","164","localhost","GET","200","OK","https://localhost:7188/api/v1/projectsummary/2026%2f001/years/2026/profittotal",""
"2026-09-10T04:32:53.5666293Z","2026-09-10T04:32:53.6226392Z","56","localhost","GET","200","OK","https://localhost:7188/api/v1/projectsummary/2026%2f001/years/2027/costsummary",""
"2026-09-10T04:32:53.6768013Z","2026-09-10T04:32:53.7642380Z","87","localhost","GET","200","OK","https://localhost:7188/api/v1/projectsummary/2026%2f001/years/2027/profittotal",""
"2026-09-10T04:32:53.8111541Z","2026-09-10T04:32:53.8696101Z","58","localhost","GET","200","OK","https://localhost:7188/api/v1/projectsummary/2026%2f001/years/2028/costsummary",""
"2026-09-10T04:32:53.9199946Z","2026-09-10T04:32:54.0299739Z","109","localhost","GET","200","OK","https://localhost:7188/api/v1/projectsummary/2026%2f001/years/2028/profittotal",""
"2026-09-10T04:32:54.0967748Z","2026-09-10T04:32:54.1599510Z","63","localhost","GET","200","OK","https://localhost:7188/api/v1/projectsummary/2026%2f001/years/2029/costsummary",""
"2026-09-10T04:32:54.2072761Z","2026-09-10T04:32:54.3082719Z","100","localhost","GET","200","OK","https://localhost:7188/api/v1/projectsummary/2026%2f001/years/2029/profittotal",""
"2026-09-10T04:32:55.6445520Z","2026-09-10T04:33:00.5100298Z","4865","localhost","GET","200","OK","https://localhost:7188/api/v1/projectsummary/2026%2f001/export-excel",""
"2026-09-10T04:33:26.6749303Z","2026-09-10T04:33:26.7185794Z","43","localhost","GET","200","OK","https://localhost:7188/api/v1/yearlydetails/2026%2f001/header",""
"2026-09-10T04:33:26.7617743Z","2026-09-10T04:33:26.8877701Z","125","localhost","GET","200","OK","https://localhost:7188/api/v1/projectsummary/2026%2f001/staff-effort?Descending=False&Page=1&PageSize=10",""
"2026-09-10T04:33:28.2892332Z","2026-09-10T04:33:28.3262353Z","36","localhost","GET","200","OK","https://localhost:7188/api/v1/yearlydetails/2026%2f001/header",""
"2026-09-10T04:33:28.3666813Z","2026-09-10T04:33:28.4094460Z","42","localhost","GET","200","OK","https://localhost:7188/api/v1/projectsummary/2026%2f001/staff-years?Descending=False&Page=1&PageSize=10",""
"2026-09-10T04:33:29.2232889Z","2026-09-10T04:33:29.2582002Z","34","localhost","GET","200","OK","https://localhost:7188/api/v1/yearlydetails/2026%2f001/header",""
"2026-09-10T04:33:29.2911888Z","2026-09-10T04:33:29.3690257Z","77","localhost","GET","200","OK","https://localhost:7188/api/v1/projectsummary/2026%2f001/project-costs?Descending=False&Page=1&PageSize=5",""
"2026-09-10T04:33:30.3245065Z","2026-09-10T04:33:30.3890937Z","64","localhost","GET","200","OK","https://localhost:7188/api/v1/maintenance/settings",""
"2026-09-10T04:33:30.4373242Z","2026-09-10T04:33:30.5054208Z","68","localhost","GET","200","OK","https://localhost:7188/api/v1/accountgroup",""
